Parameter   Variance Values		Max-Min

theta1-12 - 0.0034349867996636787	0.258218654970758
theta1-23 - 0.0326326226882558		0.20794805809967798
theta1-34 - 0.0029840196839166482	0.20794805809967798
theta2-23 - 0.029147966786660255	0.6215683484598696
theta2-34 - 0.010059049767910071	0.32895704140150106

phi11     - 0.0				0.0
phi12     - 5.141947224001594		6.158338042049214
phi13     - 5.765668299749029		6.389156807835517
phi14     - 5.889222067225135		6.351753018641453
phi22     - 3.0814879110195774e-33	4.440892098500626e-16
phi23     - 5.936772150857967		6.486070882540023
phi24     - 6.6442913693721275		7.421199264781747
